features,location,price
 442 m²  387 m²  5 hab.  2 baños ,"Norte de Quito, Quito",USD 350.000
 214 m²  214 m²  3 hab.  2 baños  2 estac. ,"La Armenia, Quito",USD 125.000
 190 m²  150 m²  3 hab.  2 baños ,"Tumbaco, Quito",USD 150.000
 148 m²  104 m²  3 hab.  2 baños  1 estac. ,"Tumbaco, Quito",USD 97.000
 1103 m²  370 m²  4 hab.  5 baños ,"San Rafael, Quito",USD 470.000
 286 m²  286 m²  8 hab.  5 baños ,"Los Chillos, Quito",USD 114.900
 362 m²  362 m²  9 hab.  5 baños  1 estac. ,"Sur de Quito, Quito",USD 135.000
 600 m²  320 m²  3 hab.  3 baños  2 estac. ,"Tumbaco, Quito",USD 450.000
 147 m²  147 m²  3 hab.  2 baños  2 estac. ,"Ponceano, Quito",USD 100.000
 183 m²  163 m²  3 hab.  2 baños  2 estac. ,"Carcelén, Quito",USD 128.000
 190 m²  190 m²  3 hab.  3 baños  2 estac. ,"Tumbaco, Quito",USD 160.000
 158 m²  141 m²  3 hab.  4 baños  2 estac. ,"Los Chillos, Quito",USD 125.000
 254 m²  227 m²  5 hab.  3 baños ,"Norte de Quito, Quito",USD 185.000
 1200 m²  130 m²  2 hab.  2 baños ,"Norte de Quito, Quito",USD 153.000
 117 m²  84 m²  3 hab.  2 baños ,"Norte de Quito, Quito",USD 71.900
 520 m²  520 m²  9 hab.  7 baños ,"Norte de Quito, Quito",USD 290.000
 420 m²  207 m²  3 hab.  2 baños  5 estac. ,"Norte de Quito, Quito",USD 248.000
 153 m²  153 m²  4 hab.  3 baños ,"Carcelén, Quito",USD 130.000
 154 m²  3 hab.  2 baños  1 estac. ,"La Armenia, Quito",USD 85.000
 4560 m²  704 m²  4 hab.  5 baños  10 estac. ,"Los Chillos, Quito",USD 690.000
 231 m²  206 m²  3 hab.  4 baños  2 estac. ,"Cumbayá, Quito",USD 210.000
 518 m²  518 m²  7 hab.  4 baños ,"Sur de Quito, Quito",USD 190.000
 1500 m²  650 m²  4 hab.  4 baños  6 estac. ,"Cumbayá, Quito",USD 1.100.000
 860 m²  860 m²  4 hab.  3 baños  6 estac. ,"Miravalle, Quito",USD 870.000
 156 m²  118 m²  3 hab.  2 baños  2 estac. ,"Conocoto, Quito",USD 109.900
 158 m²  129 m²  3 hab.  2 baños  1 estac. ,"Conocoto, Quito",USD 90.000
 653 m²  318 m²  7 hab.  6 baños  3 estac. ,"Norte de Quito, Quito",USD 169.000
 600 m²  600 m²  5 hab.  5 baños ,"Centro Norte, Quito",USD 460.000
 557 m²  557 m²  10 hab.  7 baños ,"Centro Norte, Quito",USD 550.000
 428 m²  300 m²  3 hab.  2 baños  2 estac. ,"Nayón - Tanda, Quito",USD 340.000
 195 m²  195 m²  4 hab.  2 baños  1 estac. ,"Los Chillos, Quito",USD 158.000
 200 m²  149 m²  3 hab.  3 baños ,"Sangolqui, Quito",USD 130.000
 210 m²  128 m²  3 hab.  2 baños ,"Norte de Quito, Quito",USD 160.000
 367 m²  292 m²  3 hab.  3 baños  2 estac. ,"Cumbayá, Quito",USD 250.000
 219 m²  219 m²  4 hab.  3 baños ,"Carcelén, Quito",USD 117.000
 180 m²  180 m²  3 hab.  1 baño ,"Mitad del Mundo, Quito",USD 84.000
 142 m²  142 m²  3 hab.  2 baños  2 estac. ,"La Armenia, Quito",USD 105.000
 170 m²  150 m²  3 hab.  2 baños  2 estac. ,"Norte de Quito, Quito",USD 145.000
 360 m²  289 m²  3 hab.  3 baños  2 estac. ,"Quito, Pichincha",USD 315.900
 250 m²  183 m²  3 hab.  2 baños  2 estac. ,"Cumbayá, Quito",USD 185.000
 1479 m²  315 m²  4 hab.  3 baños  5 estac. ,"Los Chillos, Quito",USD 305.000
 187 m²  163 m²  3 hab.  2 baños  1 estac. ,"Ponceano, Quito",USD 110.000
 270 m²  270 m²  3 hab.  4 baños  2 estac. ,"La Armenia, Quito",USD 248.000
 430 m²  300 m²  5 hab.  4 baños  3 estac. ,"El Pinar, Quito",USD 229.000
 172 m²  172 m²  4 hab.  2 baños  2 estac. ,"Norte de Quito, Quito",USD 159.700
 300 m²  563 m²  8 hab.  6 baños ,"Centro de Quito, Quito",USD 270.000
 139 m²  139 m²  3 hab.  3 baños ,"Carcelén, Quito",USD 160.000
 575 m²  575 m²  3 hab.  4 baños ,"Nayón - Tanda, Quito",USD 529.000
 120 m²  120 m²  3 hab.  2 baños ,"Sur de Quito, Quito",USD 92.000
 300 m²  200 m²  6 hab.  4 baños  3 estac. ,"Los Chillos, Quito",USD 168.000
 400 m²  196 m²  2 hab.  2 baños  4 estac. ,"Tumbaco, Quito",USD 225.000
 1130 m²  353 m²  4 hab.  4 baños  4 estac. ,"Cumbayá, Quito",USD 499.000
 424 m²  700 m²  4 hab.  7 baños ,"Centro Norte, Quito",USD 335.000
 243 m²  243 m²  3 hab.  2 baños  2 estac. ,"Tumbaco, Quito",USD 158.000
 274 m²  239 m²  4 hab.  4 baños  2 estac. ,"La Concepción, Quito",USD 234.000
 1457 m²  360 m²  3 hab.  3 baños  4 estac. ,"Centro Norte, Quito",USD 590.000
 243 m²  243 m²  4 hab.  4 baños  4 estac. ,"Cumbayá, Quito",USD 250.000
 1560 m²  511 m²  10 hab.  6 baños  10 estac. ,"El Pinar, Quito",USD 499.000
 411 m²  535 m²  8 hab.  4 baños ,"Centro Norte, Quito",USD 650.000
 262 m²  221 m²  4 hab.  2 baños  3 estac. ,"La Armenia, Quito",USD 179.900
 587 m²  587 m²  12 hab.  7 baños  7 estac. ,"Norte de Quito, Quito",USD 389.000
 132 m²  132 m²  3 hab.  2 baños ,"Los Chillos, Quito",USD 89.000
 210 m²  210 m²  8 hab.  4 baños ,"Sur de Quito, Quito",USD 80.000
 430 m²  430 m²  4 hab.  3 baños ,"Norte de Quito, Quito",USD 260.000
 217 m²  143 m²  2 baños  2 estac. ,"Tumbaco, Quito",USD 145.900
 400 m²  400 m²  6 hab.  6 baños  10 estac. ,"La Armenia, Quito",USD 450.000
 380 m²  200 m²  2 hab.  4 baños ,"Norte de Quito, Quito",USD 59.000
 130 m²  116 m²  2 hab.  2 baños  1 estac. ,"Mitad del Mundo, Quito",USD 69.000
